dataset,modality,category,name,anatomy_group,n_volumes,n_2D-slices,mean,median,mean_ROI_pixel_count,unit
AMOS22,MRI,label,gall bladder,Gallbladder,337,5843,635.1087,545.0625,399.2156,mm2
AMOS22,MRI,label,left adrenal gland,Adrenal Gland,360,3845,112.838,86.8055,68.7386,mm2
AMOS22,MRI,label,left kidney,Kidney,359,10323,2032.5948,1883.9688,1269.3197,mm2
AMOS22,MRI,label,liver,Liver,360,24801,6967.9844,6808.333,4327.2649,mm2
AMOS22,MRI,label,pancreas,Pancreas,360,14369,810.5652,623.4375,516.1476,mm2
AMOS22,MRI,label,postcava,Vein,360,12126,598.7174,253.8281,361.1828,mm2
AMOS22,MRI,label,prostate/uterus,Others,291,168,387.5301,227.0,238.5179,mm2
AMOS22,MRI,label,right adrenal gland,Adrenal Gland,359,3307,89.7075,72.0,53.3849,mm2
AMOS22,MRI,label,right kidney,Kidney,358,10364,2009.7914,1853.101,1223.9852,mm2
AMOS22,MRI,label,spleen,Spleen,357,12537,2271.5093,2014.5247,1413.8636,mm2
AMOS22,MRI,label,stomach,Stomach,357,15590,1582.5489,1385.4507,981.8022,mm2
AbdomenAtlas1.0Mini,CT,label,aorta,Artery,5185,1621624,1111.4631,568.3899,1013.059,mm2
AbdomenAtlas1.0Mini,CT,label,gallbladder,Gallbladder,5032,720761,522.3563,417.6328,462.3589,mm2
AbdomenAtlas1.0Mini,CT,label,left kidney,Kidney,5132,1206144,2399.9324,2192.1875,2110.675,mm2
AbdomenAtlas1.0Mini,CT,label,liver,Liver,5184,2980069,8456.9112,7950.8575,7700.7533,mm2
AbdomenAtlas1.0Mini,CT,label,pancreas,Pancreas,5164,1537817,802.6153,601.1719,712.7627,mm2
AbdomenAtlas1.0Mini,CT,label,postcava (inferior vena cava),Vein,5188,1123791,954.3491,423.8642,800.5775,mm2
AbdomenAtlas1.0Mini,CT,label,right kidney,Kidney,5138,1208902,2354.4622,2204.9561,2106.5413,mm2
AbdomenAtlas1.0Mini,CT,label,spleen,Spleen,5166,1474108,2611.3956,2284.9994,2354.1731,mm2
AbdomenAtlas1.0Mini,CT,label,stomach,Stomach,5184,1897182,2587.3134,1986.3286,2112.0027,mm2
AbdomenCT-1K,CT,label,kidney,Kidney,1000,358398,3472.0861,3233.775,3047.0628,mm2
AbdomenCT-1K,CT,label,liver,Liver,1000,587580,8636.1459,8210.8965,7704.0604,mm2
AbdomenCT-1K,CT,label,pancreas,Pancreas,1000,309744,879.5227,645.7036,767.7586,mm2
AbdomenCT-1K,CT,label,spleen,Spleen,998,293603,2627.0856,2308.4609,2366.2561,mm2
BCV15,CT,label,aorta,Artery,30,6797,1258.2959,823.7812,602.0268,mm2
BCV15,CT,label,bladder,Urinary System,30,6485,3225.2378,2995.6055,1616.1571,mm2
BCV15,CT,label,esophagus,Esophagus,30,3697,382.4839,280.0312,178.2505,mm2
BCV15,CT,label,gallbladder,Gallbladder,28,4045,556.1001,420.1758,269.5721,mm2
BCV15,CT,label,inferior vena cava,Vein,30,5382,1405.0625,620.1125,696.7157,mm2
BCV15,CT,label,left adrenal gland,Adrenal Gland,30,2960,154.1264,117.6797,74.6027,mm2
BCV15,CT,label,left kidney,Kidney,30,6132,2201.9216,2170.2579,1091.9628,mm2
BCV15,CT,label,liver,Liver,30,17119,8604.7046,8156.8652,4197.9602,mm2
BCV15,CT,label,pancreas,Pancreas,30,8982,782.2438,570.2344,386.2391,mm2
BCV15,CT,label,portal vein and splenic vein,Vein,30,11758,252.7386,138.8848,124.7743,mm2
BCV15,CT,label,rectum,Intestine,30,5453,1305.4837,1020.5078,646.6483,mm2
BCV15,CT,label,right adrenal gland,Adrenal Gland,30,2695,137.3952,106.0312,65.9199,mm2
BCV15,CT,label,right kidney,Kidney,30,6248,2158.6483,2101.5819,1062.6535,mm2
BCV15,CT,label,small bowel,Intestine,28,11183,4034.8496,2871.0938,2000.398,mm2
BCV15,CT,label,spleen,Spleen,30,8510,3230.7806,2322.4512,1588.5434,mm2
BCV15,CT,label,stomach,Stomach,30,11848,3274.95,2687.4609,1548.6161,mm2
BCV15,CT,label,uterus,Uterus,30,6576,2360.8113,2034.5592,1157.839,mm2
BraTS24,MRI,label,cystic component of brain,Brain Tumor/Lesion,432,28252,280.9403,123.0,280.9403,mm2
BraTS24,MRI,label,enhancing brain tumor,Brain Tumor/Lesion,768,64048,287.8362,177.0,287.8362,mm2
BraTS24,MRI,label,enhancing brain tumor tissue,Brain Tumor/Lesion,7496,846512,260.1448,130.0,260.9438,mm2
BraTS24,MRI,label,gross tumor volume of brain,Brain Tumor/Lesion,500,62026,482.1001,247.2998,651.8954,mm2
BraTS24,MRI,label,non-enhancing brain tumor,Brain Tumor/Lesion,1044,152668,804.2731,636.0,804.2731,mm2
BraTS24,MRI,label,non-enhancing brain tumor core,Brain Tumor/Lesion,4404,314224,152.0046,63.0,152.1764,mm2
BraTS24,MRI,label,peritumoral edema of brain,Brain Tumor/Lesion,360,33580,513.9792,303.0,513.9792,mm2
BraTS24,MRI,label,resection cavity of brain,Brain Tumor/Lesion,5496,554100,453.0698,274.0,453.0698,mm2
BraTS24,MRI,label,surrounding non-enhancing flair hyperintensity of brain,Brain Tumor/Lesion,8956,1712184,707.0693,469.0,707.863,mm2
BraTS24,MRI,measurement,major_axis_mm,,2502,26183,35.4542,32.7841,,mm
BraTS24,MRI,measurement,minor_axis_mm,,2502,26183,24.9667,22.8065,,mm
CAMUS,ultrasound,label,left atrium,Heart,1000,319925,660.476,636.944,2787.3516,mm2
CAMUS,ultrasound,label,left ventricle,Heart,1000,584841,656.0491,544.852,2768.6694,mm2
CAMUS,ultrasound,label,left ventricular myocardium,Heart,1000,436667,805.7443,703.164,3400.4153,mm2
Ceph-Biometrics-400,X Ray,measurement,angle_deg,,400,3200,45.339,45.0845,,degree
Ceph-Biometrics-400,X Ray,measurement,distance_mm,,400,4400,69.0159,65.2155,,mm
CrossMoDA,MRI,label,cochlea,Head-Neck,105,6621,14.4166,13.29,31.8836,mm2
CrossMoDA,MRI,label,vestibular schwannoma,Head-Neck Tumor/Lesion,105,10002,131.4258,92.9004,284.4721,mm2
DEEP-PSMA,PET,label,total tumor burden,Miscellaneous Tumor/Lesion,200,50341,1830.3285,729.8696,173.1609,mm2
DEEP-PSMA,PET,measurement,major_axis_mm,,62,753,59.4003,52.8081,,mm
DEEP-PSMA,PET,measurement,minor_axis_mm,,62,753,39.4718,34.5444,,mm
FLARE22,CT,label,aorta,Artery,50,11532,1162.4306,694.2271,722.1678,mm2
FLARE22,CT,label,duodenum,Intestine,50,12148,895.3682,671.0056,561.1521,mm2
FLARE22,CT,label,esophagus,Esophagus,50,6208,366.3519,308.1446,225.8254,mm2
FLARE22,CT,label,gallbladder,Gallbladder,50,7620,630.1573,497.2558,393.3146,mm2
FLARE22,CT,label,inferior vena cava (ivc),Vein,50,9656,1270.543,533.3956,791.7297,mm2
FLARE22,CT,label,left adrenal gland (lag),Adrenal Gland,50,4734,158.3348,132.8593,97.9303,mm2
FLARE22,CT,label,left kidney,Kidney,50,11018,2600.0192,2547.8846,1606.2272,mm2
FLARE22,CT,label,liver,Liver,50,27767,8355.3927,8170.4955,5164.8234,mm2
FLARE22,CT,label,pancreas,Pancreas,50,14599,918.0127,662.0438,569.9081,mm2
FLARE22,CT,label,right adrenal gland (rag),Adrenal Gland,50,4444,141.9993,115.315,87.5988,mm2
FLARE22,CT,label,right kidney,Kidney,50,11102,2572.6556,2528.8231,1584.4586,mm2
FLARE22,CT,label,spleen,Spleen,50,13406,2500.8227,2165.7321,1554.9905,mm2
FLARE22,CT,label,stomach,Stomach,50,18720,2558.6888,2144.4289,1622.8189,mm2
FeTA24,MRI,label,brainstem,Brain,80,11931,125.7208,95.6476,504.5346,mm2
FeTA24,MRI,label,cerebellum,Brain,80,10893,208.6251,174.25,832.7786,mm2
FeTA24,MRI,label,deep grey matter,Brain,80,13567,303.5141,270.5,1225.7644,mm2
FeTA24,MRI,label,external cerebrospinal fluid,Brain,80,35422,890.9487,887.4452,3590.3153,mm2
FeTA24,MRI,label,grey matter,Brain,80,30897,476.0121,432.5141,1910.8696,mm2
FeTA24,MRI,label,ventricles,Brain,80,21260,290.9628,191.6424,1203.5081,mm2
FeTA24,MRI,label,white matter,Brain,80,29629,1093.5327,1019.529,4396.1744,mm2
FeTA24,MRI,measurement,distance_mm,,65,325,41.86,36.0,,mm
HNTSMRG24,MRI,label,metastatic lymph node,Metastatic Lymph Node,259,35063,386.8377,245.8176,508.3669,mm2
HNTSMRG24,MRI,label,primary gross tumor volume (head & neck),Head-Neck Tumor/Lesion,249,27361,335.0086,221.0,439.0286,mm2
HNTSMRG24,MRI,measurement,major_axis_mm,,266,3188,27.3006,25.564,,mm
HNTSMRG24,MRI,measurement,minor_axis_mm,,266,3188,17.8634,17.1362,,mm
ISLES24,MRI,label,stroke infarct,Brain Tumor/Lesion,294,97228,509.189,181.6425,734.3103,mm2
KiPA22,CT,label,kidney,Kidney,70,26239,1808.1832,1749.9309,4556.8928,mm2
KiPA22,CT,label,kidney tumor,Kidney Tumor/Lesion,70,13483,994.8833,766.1101,2513.0105,mm2
KiPA22,CT,label,renal artery,Artery,70,20844,50.8823,38.6784,129.347,mm2
KiPA22,CT,label,renal vein,Vein,70,14124,139.7102,118.7292,352.3171,mm2
KiPA22,CT,measurement,major_axis_mm,,68,3142,34.8885,34.2759,,mm
KiPA22,CT,measurement,minor_axis_mm,,68,3142,29.6886,29.5784,,mm
KiTS23,CT,label,kidney,Kidney,489,185539,3239.3486,3068.8477,2554.0687,mm2
KiTS23,CT,label,kidney cyst,Kidney Tumor/Lesion,248,29267,643.6738,220.2148,386.0791,mm2
KiTS23,CT,label,kidney tumor,Kidney Tumor/Lesion,489,76744,2516.3279,1195.7754,1784.9495,mm2
KiTS23,CT,measurement,major_axis_mm,,436,8034,66.1201,56.5619,,mm
KiTS23,CT,measurement,minor_axis_mm,,436,8034,53.9866,46.9804,,mm
LIDC-IDRI,CT,label,lung nodule,Lung Tumor/Lesion,880,73976,72.4539,25.822,82.4633,mm2
LIDC-IDRI,CT,measurement,major_axis_mm,,187,517,17.2784,15.6822,,mm
LIDC-IDRI,CT,measurement,minor_axis_mm,,187,517,13.46,12.3352,,mm
LNQ2023,CT,label,mediastinal lymph node,Metastatic Lymph Node,120,25331,483.1226,254.592,202.3861,mm2
LNQ2023,CT,measurement,major_axis_mm,,79,238,34.2153,28.1346,,mm
LNQ2023,CT,measurement,minor_axis_mm,,79,238,19.4204,16.2708,,mm
MAMA-MIA,MRI,label,breast tumor,Breast Tumor/Lesion,1506,214408,578.9852,327.5005,640.6127,mm2
MAMA-MIA,MRI,measurement,major_axis_mm,,981,5071,37.1944,32.5429,,mm
MAMA-MIA,MRI,measurement,minor_axis_mm,,981,5071,28.4976,24.8906,,mm
MSD,CT,label,colon cancer primaries,Colon Tumor/Lesion,126,17258,749.3279,496.207,314.3648,mm2
MSD,CT,label,liver,Liver,131,88876,8449.8266,7935.4614,11232.4302,mm2
MSD,CT,label,liver cancer,Liver Tumor/Lesion,118,31539,1177.7839,415.1519,1756.4153,mm2
MSD,CT,label,liver tumor,Liver Tumor/Lesion,303,49727,2346.5422,916.692,1070.7307,mm2
MSD,CT,label,liver vessel,Liver,303,117627,284.5463,193.3594,147.3859,mm2
MSD,CT,label,lung cancer,Lung Tumor/Lesion,63,7493,606.3589,250.293,706.7721,mm2
MSD,CT,label,pancreas,Pancreas,281,79040,836.1769,626.3503,503.9518,mm2
MSD,CT,label,pancreas cancer,Pancreas Tumor/Lesion,281,20668,490.7187,268.3227,289.6987,mm2
MSD,CT,label,spleen,Spleen,41,10754,2546.8203,2277.3215,1168.5974,mm2
MSD,MRI,label,anterior hippocampus,Brain,260,13547,98.7535,102.0,98.7535,mm2
MSD,MRI,label,edema of brain,Brain Tumor/Lesion,1936,422836,892.7344,708.0,892.7344,mm2
MSD,MRI,label,enhancing brain tumor,Brain Tumor/Lesion,1888,254928,461.7191,344.0,461.7191,mm2
MSD,MRI,label,left atrium of heart,Heart,20,3330,1400.4166,1332.8125,842.3559,mm2
MSD,MRI,label,non-enhancing brain tumor,Brain Tumor/Lesion,1936,284988,367.6604,218.0,367.6604,mm2
MSD,MRI,label,peripheral zone of prostate,Prostate,64,9900,409.938,299.25,238.9139,mm2
MSD,MRI,label,posterior hippocampus,Brain,260,16101,76.5448,73.0,76.5448,mm2
MSD,MRI,label,transition zone of prostate,Prostate,60,9860,1250.9388,1017.0938,753.6341,mm2
MSD,CT;MRI,measurement,major_axis_mm,,1095,12914,48.8152,41.0905,,mm
MSD,CT;MRI,measurement,minor_axis_mm,,1095,12914,36.1086,28.5635,,mm
MSWAL,CT,label,gallstone,Gallbladder,98,7403,233.5002,113.374,282.1151,mm2
MSWAL,CT,label,kidney cyst,Kidney Tumor/Lesion,254,28154,601.3425,139.9141,721.6158,mm2
MSWAL,CT,label,kidney stone,Kidney Tumor/Lesion,77,4697,74.8327,18.1055,91.8095,mm2
MSWAL,CT,label,kidney tumor,Kidney Tumor/Lesion,83,9857,1755.8322,653.3687,2157.3223,mm2
MSWAL,CT,label,liver cyst,Liver Tumor/Lesion,178,26054,703.9832,76.5701,839.2398,mm2
MSWAL,CT,label,liver tumor,Liver Tumor/Lesion,171,38147,3067.0295,1080.8112,3891.392,mm2
MSWAL,CT,label,pancreatic cancer,Pancreas Tumor/Lesion,76,10814,815.0156,539.7226,984.1223,mm2
MSWAL,CT,measurement,major_axis_mm,,363,12260,47.4819,35.0908,,mm
MSWAL,CT,measurement,minor_axis_mm,,363,12260,36.8882,27.6562,,mm
OAIZIB-CM,MRI,label,femoral cartilage,Knee Soft Tissue,507,218462,243.1645,191.151,1133.9201,mm2
OAIZIB-CM,MRI,label,femur,Knee Bone,507,272717,2381.1521,2276.2032,11103.7428,mm2
OAIZIB-CM,MRI,label,lateral tibial cartilage,Knee Soft Tissue,507,98878,82.5667,61.2766,385.0234,mm2
OAIZIB-CM,MRI,label,medial tibial cartilage,Knee Soft Tissue,507,106855,67.1011,46.9583,312.9045,mm2
OAIZIB-CM,MRI,label,tibia,Knee Bone,507,226077,1913.0195,1936.0105,8920.7559,mm2
PDDCA,CT,label,brainstem,Brain,48,4411,659.6302,630.7572,308.6151,mm2
PDDCA,CT,label,left optic nerve,Head-Neck,48,2988,25.1951,17.55,11.6566,mm2
PDDCA,CT,label,left parotid gland,Head-Neck,48,5220,604.865,532.651,283.0144,mm2
PDDCA,CT,label,left submandibular gland,Head-Neck,41,2604,258.317,232.7315,114.0058,mm2
PDDCA,CT,label,mandible,Jawbone,40,9648,515.8915,470.4,238.1256,mm2
PDDCA,CT,label,optic chiasm,Head-Neck,48,1754,36.268,32.34,16.8318,mm2
PDDCA,CT,label,right optic nerve,Head-Neck,48,2993,22.21,15.84,10.3091,mm2
PDDCA,CT,label,right parotid gland,Head-Neck,48,5207,621.4999,546.1,293.4469,mm2
PDDCA,CT,label,right submandibular gland,Head-Neck,36,2294,261.8083,242.9812,113.983,mm2
PDDCA,CT,measurement,distance_mm,,33,132,117.8103,102.5783,,mm
PI-CAI,MRI,label,clinically significant prostate cancer lesion,Prostate Tumor/Lesion,425,42857,196.5381,88.56,234.3084,mm2
PI-CAI,MRI,measurement,major_axis_mm,,162,409,27.192,28.3702,,mm
PI-CAI,MRI,measurement,minor_axis_mm,,162,409,18.7094,15.0779,,mm
SKM-TEA,MRI,label,femoral cartilage,Knee Soft Tissue,310,142702,188.3359,150.1108,941.5722,mm2
SKM-TEA,MRI,label,lateral meniscus,Knee Soft Tissue,310,59638,79.1459,56.7409,395.5621,mm2
SKM-TEA,MRI,label,lateral tibial cartilage,Knee Soft Tissue,310,66638,86.7384,64.7508,433.854,mm2
SKM-TEA,MRI,label,medial meniscus,Knee Soft Tissue,310,71574,75.0931,45.5,375.876,mm2
SKM-TEA,MRI,label,medial tibial cartilage,Knee Soft Tissue,310,70936,72.9039,50.7331,364.751,mm2
SKM-TEA,MRI,label,patellar cartilage,Knee Soft Tissue,310,64340,115.8595,84.75,579.2803,mm2
ToothFairy2,CT,label,bridge,Others,90,11313,49.9215,45.27,554.6828,mm2
ToothFairy2,CT,label,crown,Others,174,32313,81.9921,72.18,911.0235,mm2
ToothFairy2,CT,label,implant,Others,62,6567,21.9283,19.26,243.6482,mm2
ToothFairy2,CT,label,left inferior alveolar canal,Jawbone,480,173213,11.0915,8.82,123.2383,mm2
ToothFairy2,CT,label,left maxillary sinus,Head-Neck,46,8347,80.171,54.9,890.7894,mm2
ToothFairy2,CT,label,lower jawbone,Jawbone,479,381955,530.0052,470.88,5888.9463,mm2
ToothFairy2,CT,label,lower left canine,Tooth,438,58808,37.2236,28.8,413.5956,mm2
ToothFairy2,CT,label,lower left central incisor,Tooth,421,46938,21.8657,16.47,242.952,mm2
ToothFairy2,CT,label,lower left first molar,Tooth,262,39460,63.8603,60.93,709.5588,mm2
ToothFairy2,CT,label,lower left first premolar,Tooth,406,49109,32.919,24.75,365.7662,mm2
ToothFairy2,CT,label,lower left lateral incisor,Tooth,431,52009,24.5302,18.54,272.5577,mm2
ToothFairy2,CT,label,lower left second molar,Tooth,321,46473,62.6683,58.77,696.3148,mm2
ToothFairy2,CT,label,lower left second premolar,Tooth,366,45079,36.2157,27.45,402.3962,mm2
ToothFairy2,CT,label,lower left third molar (wisdom tooth),Tooth,259,36129,59.1499,58.05,657.2213,mm2
ToothFairy2,CT,label,lower right canine,Tooth,444,59465,37.6357,28.89,418.1741,mm2
ToothFairy2,CT,label,lower right central incisor,Tooth,422,46881,22.0307,16.56,244.7857,mm2
ToothFairy2,CT,label,lower right first molar,Tooth,262,39357,63.4398,59.94,704.8861,mm2
ToothFairy2,CT,label,lower right first premolar,Tooth,421,50942,32.9496,24.48,366.1068,mm2
ToothFairy2,CT,label,lower right lateral incisor,Tooth,428,51346,24.8053,18.54,275.614,mm2
ToothFairy2,CT,label,lower right second molar,Tooth,309,44899,62.3793,58.77,693.1034,mm2
ToothFairy2,CT,label,lower right second premolar,Tooth,370,46182,36.5301,27.9,405.8896,mm2
ToothFairy2,CT,label,lower right third molar (wisdom tooth),Tooth,271,37931,59.3814,58.5,659.7933,mm2
ToothFairy2,CT,label,pharynx,Head-Neck,480,186895,341.2633,263.16,3791.8144,mm2
ToothFairy2,CT,label,right inferior alveolar canal,Jawbone,480,172611,11.2322,9.0,124.8018,mm2
ToothFairy2,CT,label,right maxillary sinus,Head-Neck,45,7952,82.0926,62.01,912.14,mm2
ToothFairy2,CT,label,upper jawbone,Jawbone,185,50883,169.4252,100.44,1882.5018,mm2
ToothFairy2,CT,label,upper left canine,Tooth,220,19394,30.0929,24.57,334.366,mm2
ToothFairy2,CT,label,upper left central incisor,Tooth,192,17052,28.6587,23.76,318.4305,mm2
ToothFairy2,CT,label,upper left first molar,Tooth,284,32666,55.8902,56.25,621.0026,mm2
ToothFairy2,CT,label,upper left first premolar,Tooth,265,23346,31.0444,27.9,344.9373,mm2
ToothFairy2,CT,label,upper left lateral incisor,Tooth,171,14607,23.0885,19.53,256.5389,mm2
ToothFairy2,CT,label,upper left second molar,Tooth,279,32201,55.5424,56.07,617.1381,mm2
ToothFairy2,CT,label,upper left second premolar,Tooth,270,23996,32.6459,30.87,362.7323,mm2
ToothFairy2,CT,label,upper left third molar (wisdom tooth),Tooth,142,14879,44.9335,41.76,499.2616,mm2
ToothFairy2,CT,label,upper right canine,Tooth,210,18658,30.0746,25.02,334.1617,mm2
ToothFairy2,CT,label,upper right central incisor,Tooth,182,16488,29.3705,24.39,326.3388,mm2
ToothFairy2,CT,label,upper right first molar,Tooth,278,31488,54.4748,53.73,605.2756,mm2
ToothFairy2,CT,label,upper right first premolar,Tooth,253,21989,30.5349,27.0,339.2761,mm2
ToothFairy2,CT,label,upper right lateral incisor,Tooth,157,13697,23.2451,19.8,258.2784,mm2
ToothFairy2,CT,label,upper right second molar,Tooth,274,30857,53.2504,52.74,591.6716,mm2
ToothFairy2,CT,label,upper right second premolar,Tooth,265,23236,31.6923,29.16,352.1363,mm2
ToothFairy2,CT,label,upper right third molar (wisdom tooth),Tooth,129,13612,45.7218,42.66,508.0195,mm2
TopCoW24,CT,label,anterior communicating artery,Artery,212,2243,5.114,4.291,18.7931,mm2
TopCoW24,CT,label,basilar artery,Artery,250,6866,18.3484,13.0328,67.8941,mm2
TopCoW24,CT,label,left anterior cerebral artery,Artery,250,13433,9.6843,6.334,35.6282,mm2
TopCoW24,CT,label,left internal carotid artery,Artery,249,8405,21.3289,18.7781,78.8056,mm2
TopCoW24,CT,label,left middle cerebral artery,Artery,249,8085,12.8124,10.2041,46.9707,mm2
TopCoW24,CT,label,left posterior cerebral artery,Artery,250,11931,8.4814,6.2561,31.1328,mm2
TopCoW24,CT,label,left posterior communicating artery,Artery,111,2431,5.1327,3.9991,18.9194,mm2
TopCoW24,CT,label,right anterior cerebral artery,Artery,250,13615,9.5436,6.2014,35.3601,mm2
TopCoW24,CT,label,right internal carotid artery,Artery,250,8712,21.244,18.6316,79.0844,mm2
TopCoW24,CT,label,right middle cerebral artery,Artery,247,8371,12.8552,10.5029,47.3857,mm2
TopCoW24,CT,label,right posterior cerebral artery,Artery,250,11698,8.4119,6.0738,30.9253,mm2
TopCoW24,CT,label,right posterior communicating artery,Artery,122,2881,4.7097,3.3469,16.7733,mm2
TopCoW24,CT,label,third a2 segment,Artery,31,903,5.5566,3.3237,19.9402,mm2
TopCoW24,MRI,label,anterior communicating artery,Artery,212,3214,4.9014,4.275,32.8619,mm2
TopCoW24,MRI,label,basilar artery,Artery,250,9794,23.0678,17.01,154.2262,mm2
TopCoW24,MRI,label,left anterior cerebral artery,Artery,250,18635,11.3965,7.4915,76.2578,mm2
TopCoW24,MRI,label,left internal carotid artery,Artery,249,17115,49.4237,42.2161,331.1216,mm2
TopCoW24,MRI,label,left middle cerebral artery,Artery,249,11765,13.4193,10.8656,90.0301,mm2
TopCoW24,MRI,label,left posterior cerebral artery,Artery,250,17230,9.6572,7.125,64.6294,mm2
TopCoW24,MRI,label,left posterior communicating artery,Artery,111,3531,5.5404,4.4531,37.3585,mm2
TopCoW24,MRI,label,right anterior cerebral artery,Artery,250,19099,11.3583,7.5796,76.0293,mm2
TopCoW24,MRI,label,right internal carotid artery,Artery,250,17534,47.2215,40.0775,316.1061,mm2
TopCoW24,MRI,label,right middle cerebral artery,Artery,247,11967,12.4768,10.5093,83.4858,mm2
TopCoW24,MRI,label,right posterior cerebral artery,Artery,250,16934,9.3998,6.9469,62.8863,mm2
TopCoW24,MRI,label,right posterior communicating artery,Artery,122,4201,5.0197,3.9188,33.8548,mm2
TopCoW24,MRI,label,third a2 segment,Artery,31,1308,6.9865,4.1423,46.828,mm2
TotalSegmentator,CT,label,aorta,Artery,1378,276837,1488.7119,893.25,661.6497,mm2
TotalSegmentator,CT,label,brachiocephalic trunk,Artery,731,39869,201.5961,168.75,89.5983,mm2
TotalSegmentator,CT,label,brain,Brain,313,53351,6452.7404,5355.0,2867.8846,mm2
TotalSegmentator,CT,label,colon,Colon,1206,347407,2752.2367,2072.25,1223.2163,mm2
TotalSegmentator,CT,label,costal cartilages,Rib,1017,338403,669.858,474.75,297.7146,mm2
TotalSegmentator,CT,label,duodenum,Intestine,950,103182,661.7954,490.5,294.1313,mm2
TotalSegmentator,CT,label,esophagus,Esophagus,1255,170349,329.6532,173.25,146.5125,mm2
TotalSegmentator,CT,label,gallbladder,Gallbladder,790,52575,559.5174,445.5,248.6744,mm2
TotalSegmentator,CT,label,heart,Heart,1124,212753,4328.8357,4065.75,1923.927,mm2
TotalSegmentator,CT,label,inferior vena cava,Vein,1229,154726,684.2808,380.25,304.1248,mm2
TotalSegmentator,CT,label,left 10th rib,Rib,880,184414,120.2399,94.5,53.44,mm2
TotalSegmentator,CT,label,left 11th rib,Rib,856,142858,98.6298,81.0,43.8355,mm2
TotalSegmentator,CT,label,left 12th rib,Rib,787,73719,72.6739,58.5,32.2995,mm2
TotalSegmentator,CT,label,left 1st rib,Rib,741,86768,160.7914,126.0,71.4628,mm2
TotalSegmentator,CT,label,left 2nd rib,Rib,752,121634,132.0816,103.5,58.7029,mm2
TotalSegmentator,CT,label,left 3rd rib,Rib,772,146574,125.3981,92.25,55.7325,mm2
TotalSegmentator,CT,label,left 4th rib,Rib,806,163691,137.7677,101.25,61.2301,mm2
TotalSegmentator,CT,label,left 5th rib,Rib,867,179186,143.5522,103.5,63.801,mm2
TotalSegmentator,CT,label,left 6th rib,Rib,908,191736,156.4624,114.75,69.5388,mm2
TotalSegmentator,CT,label,left 7th rib,Rib,890,201985,158.2112,117.0,70.3161,mm2
TotalSegmentator,CT,label,left 8th rib,Rib,888,204161,137.7336,101.25,61.215,mm2
TotalSegmentator,CT,label,left 9th rib,Rib,890,200521,132.6817,101.25,58.9696,mm2
TotalSegmentator,CT,label,left adrenal gland,Adrenal Gland,965,48076,134.7473,114.75,59.8877,mm2
TotalSegmentator,CT,label,left atrial appendage,Heart,671,40132,242.7977,220.5,107.9101,mm2
TotalSegmentator,CT,label,left autochthon,Others,1465,326896,1982.8131,967.5,881.2503,mm2
TotalSegmentator,CT,label,left brachiocephalic vein,Vein,731,67162,254.4718,218.25,113.0986,mm2
TotalSegmentator,CT,label,left clavicle,Others,816,111553,290.7712,245.25,129.2317,mm2
TotalSegmentator,CT,label,left common carotid artery,Artery,753,65631,108.0027,63.0,48.0012,mm2
TotalSegmentator,CT,label,left femur,Knee Bone,680,103359,2034.7653,1694.25,904.3401,mm2
