dataset,modalities,anatomy_groups,labels,n_labels,task_types,n_subjects,n_images_train,n_images_test,n_image_files,n_mask_files,n_landmark_files,n_nii_ondisk,n_2D-slices_total,n_2D-slices_axial,n_2D-slices_coronal,n_2D-slices_sagittal,n_annotations,array_size_range,voxel_mm_range,mean_major_axis_mm,median_major_axis_mm,mean_minor_axis_mm,median_minor_axis_mm,mean_angle_deg,median_angle_deg,mean_distance_mm,median_distance_mm,mean_ROI_area_mm2,median_ROI_area_mm2
FLARE22,CT,Adrenal Gland;Artery;Esophagus;Gallbladder;Intestine;Kidney;Liver;Pancreas;Spleen;Stomach;Vein,aorta;duodenum;esophagus;gallbladder;inferior vena cava (ivc);left adrenal gland (lag);left kidney;liver;pancreas;right adrenal gland (rag);right kidney;spleen;stomach,13,segmentation;detection,50,35,15,50,50,0,100,34235,4543,12061,17631,152954,512-512 x 512-512 x 71-113,0.645-5.0,,,,,,,,,2805.0704,2500.8227
FeTA24,MRI,Brain,brainstem;cerebellum;deep grey matter;external cerebrospinal fluid;grey matter;ventricles;white matter,7,segmentation;detection;biometry,80,56,24,80,80,65,295,35776,11183,13357,11236,153599,256-256 x 256-256 x 256-256,0.43-0.703,,,,,,,41.86,36.0,603.7994,476.0121
HNTSMRG24,MRI,Head-Neck Tumor/Lesion;Metastatic Lymph Node,metastatic lymph node;primary gross tumor volume (head & neck),2,segmentation;detection;biometry,300,210,90,300,300,600,1200,56078,9321,22087,24670,62424,480-768 x 480-768 x 57-168,0.4-2.5,27.3006,25.564,17.8634,17.1362,,,,,364.1205,386.8377
ISLES24,MRI,Brain Tumor/Lesion,stroke infarct,1,segmentation;detection,149,208,90,298,149,0,447,97228,8026,53580,35622,97228,512-512 x 512-686 x 34-177,0.305-4.0,,,,,,,,,509.189,509.189
KiPA22,CT,Artery;Kidney;Kidney Tumor/Lesion;Vein,kidney;kidney tumor;renal artery;renal vein,4,segmentation;detection;biometry,70,49,21,70,70,70,140,29494,11695,8546,9253,74690,116-189 x 116-189 x 147-280,0.549-0.779,34.8885,34.2759,29.6886,29.5784,,,,,855.4397,994.8833
KiTS23,CT,Kidney;Kidney Tumor/Lesion,kidney;kidney cyst;kidney tumor,3,segmentation;detection;biometry,489,342,147,489,489,489,978,190642,32989,61131,96522,291550,512-796 x 512-512 x 29-1059,0.393-5.0,66.1201,56.5619,53.9866,46.9804,,,,,2788.465,3239.3486
LIDC-IDRI,CT,Lung Tumor/Lesion,lung nodule,1,segmentation;detection;biometry,1013,709,304,1013,1013,1013,2026,73976,13645,30087,30244,73976,512-512 x 512-512 x 65-764,0.45-5.0,17.2784,15.6822,13.46,12.3352,,,,,72.4539,72.4539
LNQ2023,CT,Metastatic Lymph Node,mediastinal lymph node,1,segmentation;detection;biometry,120,84,36,120,120,120,240,25331,3455,9929,11947,25331,512-512 x 512-512 x 48-353,0.625-5.0,34.2153,28.1346,19.4204,16.2708,,,,,483.1226,483.1226
MAMA-MIA,MRI,Breast Tumor/Lesion,breast tumor,1,segmentation;detection;biometry,1506,1054,452,1506,1506,1506,3012,214408,39372,93084,81952,214408,128-512 x 128-512 x 44-256,0.312-3.409,37.7085,33.1569,28.8639,25.2662,,,,,578.9852,578.9852
MSD,CT;MRI,Brain;Brain Tumor/Lesion;Colon Tumor/Lesion;Heart;Liver;Liver Tumor/Lesion;Lung Tumor/Lesion;Pancreas;Pancreas Tumor/Lesion;Prostate;Spleen,anterior hippocampus;colon cancer primaries;edema of brain;enhancing brain tumor;left atrium of heart;liver;liver cancer;liver tumor;liver vessel;lung cancer;non-enhancing brain tumor;pancreas;pancreas cancer;peripheral zone of prostate;posterior hippocampus;spleen;transition zone of prostate,17,segmentation;detection;biometry,1741,2251,974,3225,1741,2356,4966,791706,188938,310500,292268,1438472,31-512 x 40-512 x 11-987,0.535-8.0,48.8152,41.0905,36.1086,28.5635,,,,,1169.976,606.3589
OAIZIB-CM,MRI,Knee Bone;Knee Soft Tissue,femoral cartilage;femur;lateral tibial cartilage;medial tibial cartilage;tibia,5,segmentation;detection,507,354,153,507,507,0,1014,358728,194685,101328,62715,922989,160-160 x 384-384 x 384-384,0.365-0.7,,,,,,,,,1246.306,1913.0195
PDDCA,CT,Brain;Head-Neck;Jawbone,brainstem;left optic nerve;left parotid gland;left submandibular gland;mandible;optic chiasm;right optic nerve;right parotid gland;right submandibular gland,9,segmentation;detection;biometry,48,33,15,48,48,33,129,15003,2397,5765,6841,37119,512-512 x 512-512 x 76-360,0.76-3.0,,,,,,,117.8103,102.5783,424.5565,515.8915
PI-CAI,MRI,Prostate Tumor/Lesion,clinically significant prostate cancer lesion,1,segmentation;detection;biometry,425,297,128,425,425,425,850,42857,2335,18834,21688,42857,256-1024 x 256-1024 x 19-37,0.234-3.6,27.2606,28.0359,18.8169,15.0909,,,,,196.5381,196.5381
SKM-TEA,MRI,Knee Soft Tissue,femoral cartilage;lateral meniscus;lateral tibial cartilage;medial meniscus;medial tibial cartilage;patellar cartilage,6,segmentation;detection,155,216,94,310,155,0,465,173690,62744,79748,31198,475828,144-168 x 512-512 x 512-512,0.312-0.801,,,,,,,,,116.3797,86.7384
ToothFairy2,CT,Head-Neck;Jawbone;Others;Tooth,bridge;crown;implant;left inferior alveolar canal;left maxillary sinus;lower jawbone;lower left canine;lower left central incisor;lower left first molar;lower left first premolar;lower left lateral incisor;lower left second molar;lower left second premolar;lower left third molar (wisdom tooth);lower right canine;lower right central incisor;lower right first molar;lower right first premolar;lower right lateral incisor;lower right second molar;lower right second premolar;lower right third molar (wisdom tooth);pharynx;right inferior alveolar canal;right maxillary sinus;upper jawbone;upper left canine;upper left central incisor;upper left first molar;upper left first premolar;upper left lateral incisor;upper left second molar;upper left second premolar;upper left third molar (wisdom tooth);upper right canine;upper right central incisor;upper right first molar;upper right first premolar;upper right lateral incisor;upper right second molar;upper right second premolar;upper right third molar (wisdom tooth),42,segmentation;detection,480,336,144,480,480,0,960,397531,87402,144600,165529,2131223,312-512 x 262-512 x 136-298,0.3-0.3,,,,,,,,,153.9502,44.9335
TopCoW24,CT;MRI,Artery,anterior communicating artery;basilar artery;left anterior cerebral artery;left internal carotid artery;left middle cerebral artery;left posterior cerebral artery;left posterior communicating artery;right anterior cerebral artery;right internal carotid artery;right middle cerebral artery;right posterior cerebral artery;right posterior communicating artery;third a2 segment,13,segmentation;detection,250,174,76,250,250,0,500,87953,13391,31907,42655,251901,208-560 x 279-640 x 138-527,0.297-0.8,,,,,,,,,16.7966,11.3965
TotalSegmentator,CT;MRI,Adrenal Gland;Artery;Brain;Colon;Esophagus;Gallbladder;Head-Neck;Heart;Hip;Intestine;Kidney;Kidney Tumor/Lesion;Knee Bone;Liver;Lung;Others;Pancreas;Prostate;Rib;Spine;Spleen;Stomach;Urinary System;Vein,aorta;brachiocephalic trunk;brain;colon;costal cartilages;duodenum;esophagus;gallbladder;heart;inferior vena cava;intervertebral discs;left 10th rib;left 11th rib;left 12th rib;left 1st rib;left 2nd rib;left 3rd rib;left 4th rib;left 5th rib;left 6th rib;left 7th rib;left 8th rib;left 9th rib;left adrenal gland;left atrial appendage;left autochthon;left brachiocephalic vein;left clavicle;left common carotid artery;left femur;left gluteus maximus;left gluteus medius;left gluteus minimus;left hip;left humerus;left iliac artery;left iliac vein;left iliopsoas;left kidney;left kidney cyst;left lung;left lung lower lobe;left lung upper lobe;left scapula;left subclavian artery;liver;pancreas;portal and splenic veins;portal vein and splenic vein;prostate;pulmonary vein;right 10th rib;right 11th rib;right 12th rib;right 1st rib;right 2nd rib;right 3rd rib;right 4th rib;right 5th rib;right 6th rib;right 7th rib;right 8th rib;right 9th rib;right adrenal gland;right autochthon;right brachiocephalic vein;right clavicle;right common carotid artery;right femur;right gluteus maximus;right gluteus medius;right gluteus minimus;right hip;right humerus;right iliac artery;right iliac vein;right iliopsoas;right kidney;right kidney cyst;right lung;right lung lower lobe;right lung middle lobe;right lung upper lobe;right scapula;right subclavian artery;sacrum;skull;small bowel;spinal cord;spleen;sternum;stomach;superior vena cava;thyroid gland;trachea;urinary bladder;vertebra C1;vertebra C2;vertebra C3;vertebra C4;vertebra C5;vertebra C6;vertebra C7;vertebra L1;vertebra L2;vertebra L3;vertebra L4;vertebra L5;vertebra S1;vertebra T1;vertebra T10;vertebra T11;vertebra T12;vertebra T2;vertebra T3;vertebra T4;vertebra T5;vertebra T6;vertebra T7;vertebra T8;vertebra T9;vertebrae,122,segmentation;detection,1324,1290,554,1844,1844,0,3688,1091563,414552,283463,393548,16979575,11-1092 x 5-1280 x 5-1915,0.167-28.0,,,,,,,,,1540.7804,716.9571
VerSe,CT,Spine,vertebra C1;vertebra C2;vertebra C3;vertebra C4;vertebra C5;vertebra C6;vertebra C7;vertebra L1;vertebra L2;vertebra L3;vertebra L4;vertebra L5;vertebra L6;vertebra T1;vertebra T10;vertebra T11;vertebra T12;vertebra T13;vertebra T2;vertebra T3;vertebra T4;vertebra T5;vertebra T6;vertebra T7;vertebra T8;vertebra T9,26,segmentation;detection;biometry,325,227,98,325,325,250,900,208402,131849,45565,30988,874896,34-768 x 101-960 x 149-2048,0.195-5.0,,,,,15.8713,15.3755,55.0874,35.7519,624.3011,693.9881
autoPET-III,CT;PET,Miscellaneous Tumor/Lesion,tumor,1,segmentation;detection;biometry,1038,1452,624,2076,1038,1038,3114,360638,170174,84866,105598,360638,168-400 x 168-400 x 135-963,2.0-5.0,53.603,45.6757,37.2506,31.2328,,,,,1474.7154,1474.7154
TOTAL,CT;MRI;PET;X Ray;ultrasound,Adrenal Gland;Artery;Brain;Brain Tumor/Lesion;Breast Tumor/Lesion;Colon;Colon Tumor/Lesion;Esophagus;Gallbladder;Head-Neck;Head-Neck Tumor/Lesion;Heart;Hip;Intestine;Jawbone;Kidney;Kidney Tumor/Lesion;Knee Bone;Knee Soft Tissue;Liver;Liver Tumor/Lesion;Lung;Lung Tumor/Lesion;Metastatic Lymph Node;Miscellaneous Tumor/Lesion;Others;Pancreas;Pancreas Tumor/Lesion;Prostate;Prostate Tumor/Lesion;Rib;Spine;Spleen;Stomach;Tooth;Urinary System;Uterus;Vein,anterior communicating artery;anterior hippocampus;aorta;basilar artery;bladder;brachiocephalic trunk;brain;brainstem;breast tumor;bridge;cerebellum;clinically significant prostate cancer lesion;cochlea;colon;colon cancer primaries;costal cartilages;crown;cystic component of brain;deep grey matter;duodenum;edema of brain;enhancing brain tumor;enhancing brain tumor tissue;esophagus;external cerebrospinal fluid;femoral cartilage;femur;gall bladder;gallbladder;grey matter;gross tumor volume of brain;heart;implant;inferior vena cava;inferior vena cava (ivc);intervertebral discs;kidney;kidney cyst;kidney tumor;lateral meniscus;lateral tibial cartilage;left 10th rib;left 11th rib;left 12th rib;left 1st rib;left 2nd rib;left 3rd rib;left 4th rib;left 5th rib;left 6th rib;left 7th rib;left 8th rib;left 9th rib;left adrenal gland;left adrenal gland (lag);left anterior cerebral artery;left atrial appendage;left atrium;left atrium of heart;left autochthon;left brachiocephalic vein;left clavicle;left common carotid artery;left femur;left gluteus maximus;left gluteus medius;left gluteus minimus;left hip;left humerus;left iliac artery;left iliac vein;left iliopsoas;left inferior alveolar canal;left internal carotid artery;left kidney;left kidney cyst;left lung;left lung lower lobe;left lung upper lobe;left maxillary sinus;left middle cerebral artery;left optic nerve;left parotid gland;left posterior cerebral artery;left posterior communicating artery;left scapula;left subclavian artery;left submandibular gland;left ventricle;left ventricular cavity;left ventricular myocardium;liver;liver cancer;liver tumor;liver vessel;lower jawbone;lower left canine;lower left central incisor;lower left first molar;lower left first premolar;lower left lateral incisor;lower left second molar;lower left second premolar;lower left third molar (wisdom tooth);lower right canine;lower right central incisor;lower right first molar;lower right first premolar;lower right lateral incisor;lower right second molar;lower right second premolar;lower right third molar (wisdom tooth);lung cancer;lung nodule;mandible;medial meniscus;medial tibial cartilage;mediastinal lymph node;metastatic lymph node;myocardium;non-enhancing brain tumor;non-enhancing brain tumor core;optic chiasm;pancreas;pancreas cancer;patellar cartilage;peripheral zone of prostate;peritumoral edema of brain;pharynx;portal and splenic veins;portal vein and splenic vein;postcava;postcava (inferior vena cava);posterior hippocampus;primary gross tumor volume (head & neck);prostate;prostate/uterus;pulmonary vein;rectum;renal artery;renal vein;resection cavity of brain;right 10th rib;right 11th rib;right 12th rib;right 1st rib;right 2nd rib;right 3rd rib;right 4th rib;right 5th rib;right 6th rib;right 7th rib;right 8th rib;right 9th rib;right adrenal gland;right adrenal gland (rag);right anterior cerebral artery;right autochthon;right brachiocephalic vein;right clavicle;right common carotid artery;right femur;right gluteus maximus;right gluteus medius;right gluteus minimus;right hip;right humerus;right iliac artery;right iliac vein;right iliopsoas;right inferior alveolar canal;right internal carotid artery;right kidney;right kidney cyst;right lung;right lung lower lobe;right lung middle lobe;right lung upper lobe;right maxillary sinus;right middle cerebral artery;right optic nerve;right parotid gland;right posterior cerebral artery;right posterior communicating artery;right scapula;right subclavian artery;right submandibular gland;right ventricular cavity;sacrum;skull;small bowel;spinal cord;spleen;sternum;stomach;stroke infarct;superior vena cava;surrounding non-enhancing flair hyperintensity of brain;third a2 segment;thyroid gland;tibia;total tumor burden;trachea;transition zone of prostate;tumor;upper jawbone;upper left canine;upper left central incisor;upper left first molar;upper left first premolar;upper left lateral incisor;upper left second molar;upper left second premolar;upper left third molar (wisdom tooth);upper right canine;upper right central incisor;upper right first molar;upper right first premolar;upper right lateral incisor;upper right second molar;upper right second premolar;upper right third molar (wisdom tooth);urinary bladder;uterus;ventricles;vertebra C1;vertebra C2;vertebra C3;vertebra C4;vertebra C5;vertebra C6;vertebra C7;vertebra L1;vertebra L2;vertebra L3;vertebra L4;vertebra L5;vertebra L6;vertebra S1;vertebra T1;vertebra T10;vertebra T11;vertebra T12;vertebra T13;vertebra T2;vertebra T3;vertebra T4;vertebra T5;vertebra T6;vertebra T7;vertebra T8;vertebra T9;vertebrae;vestibular schwannoma;white matter,255,,21695,22894,9846,32740,21843,18618,70116,11867840,3064402,4146137,4657301,46593178,,,,,,,,,,,1929.2811,853.2413
